date,store_name,machine_number,machine_name,games,diff,bb,rb,art,total_rate,bb_rate,rb_rate,art_rate,graph_max,graph_min,graph_drawdown,graph_points
2026-08-19,楽園大宮店,2433,かぐや様は告らせたい,4137,-4142,7,8,17,129.3,591.0,517.1,243.4,,,,
2026-08-19,楽園大宮店,2434,かぐや様は告らせたい,3239,-1571,13,2,15,108.0,249.2,1619.5,215.9,,,,
2026-08-19,楽園大宮店,2435,ハッピージャグラーVIII,6442,1572,29,20,0,131.5,222.1,322.1,,,,,
2026-08-19,楽園大宮店,2436,ハッピージャグラーVIII,735,-714,1,0,0,735.0,735.0,,,,,,
2026-08-19,楽園大宮店,2437,ハッピージャグラーVIII,1934,-523,7,3,0,193.4,276.3,644.7,,,,,
2026-08-19,楽園大宮店,2438,ハッピージャグラーVIII,2636,-619,9,3,0,219.7,292.9,878.7,,,,,
2026-08-19,楽園大宮店,2439,ハッピージャグラーVIII,4484,-1047,14,10,0,186.8,320.3,448.4,,,,,
2026-08-19,楽園大宮店,2440,ハッピージャグラーVIII,4779,-619,16,14,0,159.3,298.7,341.4,,,,,
2026-08-19,楽園大宮店,2441,ハッピージャグラーVIII,4835,-2476,9,15,0,201.5,537.2,322.3,,,,,
2026-08-19,楽園大宮店,2442,ハッピージャグラーVIII,2400,-428,7,8,0,160.0,342.9,300.0,,,,,
2026-08-19,楽園大宮店,2443,ハッピージャグラーVIII,4168,-1523,11,7,0,231.6,378.9,595.4,,,,,
2026-08-19,楽園大宮店,2444,ハッピージャグラーVIII,1879,-809,5,3,0,234.9,375.8,626.3,,,,,
2026-08-19,楽園大宮店,2445,ハッピージャグラーVIII,1524,-476,5,3,0,190.5,304.8,508.0,,,,,
2026-08-19,楽園大宮店,2446,ハッピージャグラーVIII,1634,-523,5,3,0,204.2,326.8,544.7,,,,,
2026-08-19,楽園大宮店,2447,ハッピージャグラーVIII,3880,-142,16,8,0,161.7,242.5,485.0,,,,,
2026-08-19,楽園大宮店,2448,ハッピージャグラーVIII,5238,-1047,18,12,0,174.6,291.0,436.5,,,,,
2026-08-19,楽園大宮店,2449,ハッピージャグラーVIII,1047,-428,2,2,0,261.8,523.5,523.5,,,,,
