台番号	G数	差枚	BB	RB
スマスロ サンダーV
2542	291	-285	1	1
2543	2,362	-666	22	8
2544	5,903	+3,572	85	17
2545	1,616	-714	13	5
2546	1,022	-285	9	2
2547	4,655	+1,191	63	18
マギアレコード 魔法少女まどか☆マギカ外伝
2391	3,646	-762	11	0
2392	773	-190	3	0
2393	1,417	-1,238	4	0
2394	467	+238	1	0
2395	3,608	+1,191	9	0
2396	2,851	-285	11	0
2397	2,367	-1,904	9	0
2398	761	+1,000	1	0
2399	4,161	-1,666	11	0
2400	532	-523	1	0
2401	4,089	-2,047	16	0
2402	4,145	-1,428	16	0
2403	447	-48	1	0
2404	5,650	+143	15	0
2405	511	-142	1	0
2406	2,646	-1,904	9	0
2407	2,050	-1,809	5	0
2408	2,809	-3,238	9	0
2409	2,308	-2,428	10	0
2410	4,126	-48	15	0
2411	1,892	-1,523	4	0
2412	2,198	-2,381	6	0
2413	3,433	+238	13	0
2414	1,083	+238	2	0
2415	1,644	-333	3	0
2416	1,819	-1,095	6	0
2417	1,450	-142	5	0
2418	6,603	-1,762	20	0
かぐや様は告らせたい
2419	3,265	-3,047	7	4
2420	2,053	-809	8	2
2421	4,818	+1,905	32	7
2422	4,234	-3,619	10	5
2423	3,369	+2,953	25	5
2424	3,202	-95	16	3
2425	1,272	+3,096	16	1
2426	1,646	+96	9	4
2427	3,071	-3,285	5	5
2428	4,679	+5,429	36	7
2429	1,620	-1,381	4	1
2430	2,458	-1,142	10	4
2431	3,114	-2,095	10	3
2432	6,671	-95	34	11
2433	3,477	-3,666	6	6
2434	4,838	-3,809	12	7
ハッピージャグラーVIII
2435	7,428	-714	26	24
2436	1,890	-666	5	6
2437	4,430	-714	14	12
2438	6,373	+96	24	24
2439	5,956	-523	22	13
2440	3,988	-952	14	6
2441	2,292	-952	5	6
2442	3,730	-1,333	9	11
2443	2,985	-571	11	5
2444	3,997	+143	14	15
2445	4,929	-714	18	7
2446	2,388	-523	5	8
2447	7,115	+1,762	36	14
2448	2,478	-1,000	5	7
2449	4,072	-476	14	12
2450	5,841	-1,095	19	14
2451	3,925	-1,714	11	6
ミスタージャグラー
2452	6,132	-428	25	15
2453	5,553	-523	21	15
2454	4,207	+334	17	9
2455	6,263	-857	22	14
2456	5,533	+667	21	20
2457	4,918	-619	17	11
2458	3,954	-1,095	13	5
2459	6,603	-1,381	20	18
2460	4,534	+524	20	10
2461	3,897	-857	13	9
2462	7,050	-571	24	21
2463	3,503	-904	11	10
2464	7,265	-476	29	16
スマスロ炎炎ノ消防隊2
2548	6,752	+6,572	0	10
2549	1,979	-2,000	0	5
2550	2,453	-1,523	0	3
2551	2,535	+3,048	0	3
2552	2,384	-1,666	0	5
2553	1,656	-714	0	2
2554	3,502	-666	0	8
2555	4,333	-285	0	11
2556	1,681	-1,190	0	3
2557	1,789	-1,095	0	3
2558	2,050	-1,428	0	3
2559	3,209	-48	0	9
2560	2,074	-1,381	0	2
2561	6,035	-428	0	14
2562	4,571	-2,762	0	9
2563	4,017	-2,904	0	10
2564	7,279	-2,714	0	15
2565	5,054	-1,047	0	13
2566	753	+191	0	2
2567	1,324	-619	0	3
2568	7,084	-3,095	0	20
2569	1,150	-714	0	2
2570	4,634	+2,477	0	12
2571	4,897	-1,142	0	12
からくりサーカス2
2572	6,909	+5,000	0	15
2573	824	-1,000	0	2
2574	3,922	-666	0	13
2575	3,949	-904	0	7
2576	2,616	-3,523	0	4
2577	4,340	-4,381	0	9
2578	1,923	-1,809	0	6
2579	1,260	-666	0	3
2580	3,467	-1,952	0	5
2581	1,675	+1,905	0	4
2582	2,902	+2,953	0	7
2583	2,039	+4,048	0	4
2584	3,886	-2,762	0	6
2585	4,261	+5,477	0	8
2586	6,174	-3,904	0	8
2587	7,113	-4,714	0	19
2588	9,451	+5,429	0	19
2589	366	-285	0	1
2590	2,987	-523	0	3
2591	4,410	+3,191	0	7
2592	3,436	-190	0	6
2593	2,380	+96	0	6
2594	5,968	-2,952	0	15
2595	1,457	-1,238	0	3
2596	928	-1,190	0	2
2597	5,004	-4,428	0	12
2813	7,163	+905	0	21
2814	2,787	+619	0	5
2815	1,924	+1,572	0	7
2816	6,587	-1,857	0	18
