date,store_name,machine_number,machine_name,games,diff,bb,rb,art,total_rate,bb_rate,rb_rate,art_rate,graph_max,graph_min,graph_drawdown,graph_points
2026-08-22,YASUDA7,57,攻殻機動隊,3130,-1477,14,13,,115.9,223.6,240.8,,165,-1509,1674,176
2026-08-22,YASUDA7,58,甲鉄城のカバネリ 海門(うなと)決戦,5281,-355,57,24,,65.2,92.6,220.0,,618,-1291,1909,176
2026-08-22,YASUDA7,59,甲鉄城のカバネリ 海門(うなと)決戦,2696,-1431,24,9,,81.7,112.3,299.6,,-5,-1775,1770,176
2026-08-22,YASUDA7,60,甲鉄城のカバネリ 海門(うなと)決戦,4658,294,51,22,,63.8,91.3,211.7,,3275,9,3147,168
2026-08-22,YASUDA7,61,甲鉄城のカバネリ 海門(うなと)決戦,4532,5982,88,20,,42.0,51.5,226.6,,5964,-455,1219,175
2026-08-22,YASUDA7,62,甲鉄城のカバネリ 海門(うなと)決戦,4052,7891,81,19,,40.5,50.0,213.3,,8309,-218,1073,175
2026-08-22,YASUDA7,63,甲鉄城のカバネリ 海門(うなと)決戦,5038,-2636,40,19,,85.4,126.0,265.2,,491,-2855,3346,176
2026-08-22,YASUDA7,64,甲鉄城のカバネリ 海門(うなと)決戦,6093,-1583,55,28,,73.4,110.8,217.6,,-5,-1752,1747,176
2026-08-22,YASUDA7,65,甲鉄城のカバネリ 海門(うなと)決戦,5928,-1651,55,24,,75.0,107.8,247.0,,110,-3477,3587,176
2026-08-22,YASUDA7,66,甲鉄城のカバネリ 海門(うなと)決戦,5166,-2509,42,25,,77.1,123.0,206.6,,1391,-2518,3909,176
2026-08-22,YASUDA7,67,甲鉄城のカバネリ 海門(うなと)決戦,5083,3101,72,22,,54.1,70.6,231.0,,3138,-1202,1193,176
2026-08-22,YASUDA7,68,甲鉄城のカバネリ 海門(うなと)決戦,3418,6073,69,14,,41.2,49.5,244.1,,6345,-145,1800,175
2026-08-22,YASUDA7,69,甲鉄城のカバネリ 海門(うなと)決戦,4947,2229,56,22,,63.4,88.3,224.9,,3560,9,1597,168
2026-08-22,YASUDA7,70,甲鉄城のカバネリ 海門(うなと)決戦,1413,-1486,5,3,,176.6,282.6,471.0,,0,-1486,1486,176
2026-08-22,YASUDA7,71,甲鉄城のカバネリ 海門(うなと)決戦,3628,5109,67,20,,41.7,54.1,181.4,,5673,-673,1182,175
